Academic Year _____,Education Type ___ _______ (AR),Education Type ___ _______ (EN),Region _______ _________ (AR),Region _______ _________ (EN),Subject ______ (AR),Subject ______ (EN),Teachers Count ___ ________
2024-2025,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),__ _______,Umm Al Quwain,________ __________ ________ _______,National and Social Education,12
2024-2025,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),__ _______,Umm Al Quwain,_________,Mathematics,13
2024-2025,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),__ _______,Umm Al Quwain,______ ______,Health Sciences,12
2024-2025,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),__ _______,Umm Al Quwain,______ ______(____)/______ ______ (____),Health Science/Life Skills,7
2024-2025,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),__ _______,Umm Al Quwain,________,Physics,8
2024-2025,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),__ _______,Umm Al Quwain,________,Chemistry,8
2024-2025,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),__ _______,Umm Al Quwain,_____ __________,English,9
2024-2025,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),__ _______,Umm Al Quwain,_____ _______,Arabic Language,17
2024-2025,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),__ _______,Umm Al Quwain,_____ _______ _ ________ _________,Arabic and Islamic Studies,10
2024-2025,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),__ _______,Umm Al Quwain,_______,Engineering,6
2024-2025,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),__ _______,Umm Al Quwain,___ _____/___ ________,Psychology/Sociology,2
2024-2025,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),__ _______,Umm Al Quwain,____ _________,Computer Science,8
2024-2025,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),__ _______,Umm Al Quwain,____ ____,General Science,10
2024-2025,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),__ _______,Umm Al Quwain,______ ______,Professional Skills,1
2024-2025,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),_______,SHARJAH,NULL,NULL,2
2024-2025,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),_______,SHARJAH,Applied Engineering and Technology,Applied Engineering,16
2024-2025,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),_______,SHARJAH,Applied Engineering Electrical,Applied Engineering Electrical,3
2024-2025,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),_______,SHARJAH,Applied Engineering Mechanical,Applied Engineering Mechanical,4
2024-2025,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),_______,SHARJAH,Computing and Artificial Intelligence,Computing and Artificial Intelligence,10
2024-2025,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),_______,SHARJAH,Engineering Maintenance Electrical,Engineering Maintenance Electrical,2
2024-2025,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),_______,SHARJAH,Engineering Maintenance Mechanical,Engineering Maintenance Mechanical,4
2024-2025,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),_______,SHARJAH,HECMA,HECMA,1
2024-2025,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),_______,SHARJAH,Senior Graduation Project,Senior Graduation Project,11
2024-2025,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),_______,SHARJAH,Student Academic Mentoring,Student Academic Mentoring,2
2024-2025,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),_______,SHARJAH,_____ _____,Business Management,7
2024-2025,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),_______,SHARJAH,_______,Biology or Life Science,3
2024-2025,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),_______,SHARJAH,_______ _________,Moral Education,1
2024-2025,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),_______,SHARJAH,_______ _________,Islamic Education,7
2024-2025,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),_______,SHARJAH,_______ _______ ,Physical Education and Health,4
2024-2025,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),_______,SHARJAH,_______ ________ _________,Creative Design and Innovation,8
2024-2025,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),_______,SHARJAH,________ __________ ________ _______,National and Social Education,6
2024-2025,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),_______,SHARJAH,_________,Mathematics,7
2024-2025,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),_______,SHARJAH,______ ______,Health Sciences,4
2024-2025,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),_______,SHARJAH,________,Physics,7
2024-2025,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),_______,SHARJAH,________,Chemistry,6
2024-2025,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),_______,SHARJAH,_____ __________,English,6
2024-2025,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),_______,SHARJAH,_____ _______,Arabic Language,10
2024-2025,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),_______,SHARJAH,_____ _______ _ ________ _________,Arabic and Islamic Studies,8
2024-2025,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),_______,SHARJAH,_______,Engineering,5
2024-2025,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),_______,SHARJAH,____ _________,Computer Science,6
2024-2025,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),_______,SHARJAH,____ ____,General Science,6
2024-2025,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),_______,AL FUJAIRAH,NULL,NULL,1
2024-2025,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),_______,AL FUJAIRAH,Applied Engineering and Technology,Applied Engineering,17
2024-2025,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),_______,AL FUJAIRAH,Applied Engineering Electrical,Applied Engineering Electrical,3
2024-2025,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),_______,AL FUJAIRAH,Applied Engineering Mechanical,Applied Engineering Mechanical,4
2024-2025,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),_______,AL FUJAIRAH,Aviation,Aviation,2
2024-2025,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),_______,AL FUJAIRAH,Computing and Artificial Intelligence,Computing and Artificial Intelligence,5
2024-2025,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),_______,AL FUJAIRAH,Engineering Maintenance Electrical,Engineering Maintenance Electrical,3
2024-2025,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),_______,AL FUJAIRAH,Engineering Maintenance Mechanical,Engineering Maintenance Mechanical,4
2024-2025,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),_______,AL FUJAIRAH,Health Science Technology,Health Science Technology,1
2024-2025,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),_______,AL FUJAIRAH,Senior Graduation Project,Senior Graduation Project,11
2024-2025,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),_______,AL FUJAIRAH,Student Academic Mentoring,Student Academic Mentoring,1
2024-2025,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),_______,AL FUJAIRAH,_____ _____,Business Management,4
2024-2025,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),_______,AL FUJAIRAH,_______,Biology or Life Science,8
2024-2025,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),_______,AL FUJAIRAH,_______ _________,Islamic Education,7
2024-2025,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),_______,AL FUJAIRAH,_______ _______ ,Physical Education and Health,2
2024-2025,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),_______,AL FUJAIRAH,_______ ________ _________,Creative Design and Innovation,4
2024-2025,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),_______,AL FUJAIRAH,________ __________ ________ _______,National and Social Education,8
2024-2025,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),_______,AL FUJAIRAH,_________,Mathematics,11
2024-2025,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),_______,AL FUJAIRAH,______ ______,Health Sciences,5
2024-2025,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),_______,AL FUJAIRAH,______ ______(____)/______ ______ (____),Health Science/Life Skills,2
2024-2025,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),_______,AL FUJAIRAH,________,Physics,6
2024-2025,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),_______,AL FUJAIRAH,________,Chemistry,6
2024-2025,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),_______,AL FUJAIRAH,_____ __________,English,8
2024-2025,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),_______,AL FUJAIRAH,_____ _______,Arabic Language,16
2024-2025,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),_______,AL FUJAIRAH,_____ _______ _ ________ _________,Arabic and Islamic Studies,8
2024-2025,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),_______,AL FUJAIRAH,_______,Engineering,5
2024-2025,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),_______,AL FUJAIRAH,_____ _______,Information Technology,1
2024-2025,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),_______,AL FUJAIRAH,____ _________,Computer Science,6
2024-2025,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),_______,AL FUJAIRAH,____ ____,General Science,4
2024-2025,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),___,DUBAI,NULL,NULL,3
2024-2025,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),___,DUBAI,Applied Engineering and Technology,Applied Engineering,21
2024-2025,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),___,DUBAI,Applied Engineering Electrical,Applied Engineering Electrical,6
2024-2025,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),___,DUBAI,Applied Engineering Mechanical,Applied Engineering Mechanical,4
2024-2025,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),___,DUBAI,Aviation,Aviation,7
2024-2025,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),___,DUBAI,Computing and Artificial Intelligence,Computing and Artificial Intelligence,10
2024-2025,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),___,DUBAI,Engineering Maintenance Electrical,Engineering Maintenance Electrical,4
2024-2025,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),___,DUBAI,Engineering Maintenance Mechanical,Engineering Maintenance Mechanical,4
2024-2025,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),___,DUBAI,Health Science Technology,Health Science Technology,1
2024-2025,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),___,DUBAI,Senior Graduation Project,Senior Graduation Project,13
2024-2025,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),___,DUBAI,Student Academic Mentoring,Student Academic Mentoring,1
2024-2025,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),___,DUBAI,_____ _____,Business Management,7
2024-2025,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),___,DUBAI,_______,Biology or Life Science,9
2024-2025,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),___,DUBAI,_______,History,1
2024-2025,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),___,DUBAI,_______ _________,Islamic Education,6
2024-2025,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),___,DUBAI,_______ _______ ,Physical Education and Health,3
2024-2025,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),___,DUBAI,_______ ________ _________,Creative Design and Innovation,3
2024-2025,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),___,DUBAI,________ __________ ________ _______,National and Social Education,7
2024-2025,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),___,DUBAI,_________,Mathematics,8
2024-2025,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),___,DUBAI,______ ______,Health Sciences,7
2024-2025,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),___,DUBAI,______ ______(____)/______ ______ (____),Health Science/Life Skills,2
2024-2025,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),___,DUBAI,________,Physics,9
2024-2025,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),___,DUBAI,________,Chemistry,7
2024-2025,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),___,DUBAI,_____ __________,English,6
